template,setup,algorithm,n_edges_target,mean_unfaithfulness,std_unfaithfulness,n
plural_14,ceap_20,CEAP,2000,0.08255767657663451,0.02889156743652768,4
single_0,ceap_20,CEAP,10,1.0,0.0,4
single_0,ceap_20,CEAP,507,0.19885508135541693,0.01985621913129699,4
single_0,ceap_20,CEAP,1005,0.2148625995693688,0.06312489337077559,4
single_0,ceap_20,CEAP,1502,0.17077711273420165,0.01971362137575741,4
single_0,ceap_20,CEAP,2000,0.17749760121894625,0.02095778492799885,4
single_1,ceap_20,CEAP,10,1.0,0.0,4
single_1,ceap_20,CEAP,507,0.2474848013368553,0.04485717547737992,4
single_1,ceap_20,CEAP,1005,0.17606149512836128,0.017659446997999383,4
single_1,ceap_20,CEAP,1502,0.17320652894656702,0.04133180801899905,4
single_1,ceap_20,CEAP,2000,0.15766179253790874,0.05456142405080647,4
single_2,ceap_20,CEAP,10,1.0,0.0,4
single_2,ceap_20,CEAP,507,0.1288914936901021,0.07872806306110638,4
single_2,ceap_20,CEAP,1005,0.08514792974352052,0.03705129912047002,4
single_2,ceap_20,CEAP,1502,0.08494075589274105,0.02568553582588694,4
single_2,ceap_20,CEAP,2000,0.0757217738810077,0.04833598656204312,4
single_3,ceap_20,CEAP,10,1.0,0.0,4
single_3,ceap_20,CEAP,507,0.10376662724848949,0.017507154358126192,4
single_3,ceap_20,CEAP,1005,0.09489509454279235,0.0132345236270881,4
single_3,ceap_20,CEAP,1502,0.06871033304116943,0.02211897528726642,4
single_3,ceap_20,CEAP,2000,0.0551098868476622,0.016946053290327116,4
single_4,ceap_20,CEAP,10,1.0,0.0,4
single_4,ceap_20,CEAP,507,0.049364400796947025,0.034736176308458676,4
single_4,ceap_20,CEAP,1005,0.04514478015757742,0.025763461072921635,4
single_4,ceap_20,CEAP,1502,0.03829115089916048,0.019661428407040937,4
single_4,ceap_20,CEAP,2000,0.030791190656877698,0.011747840164558234,4
single_5,ceap_20,CEAP,10,1.0,0.0,4
single_5,ceap_20,CEAP,507,0.15437864984655222,0.020352480142634556,4
single_5,ceap_20,CEAP,1005,0.13449469474215403,0.0200804365115488,4
single_5,ceap_20,CEAP,1502,0.1334305766299942,0.025340552490956077,4
single_5,ceap_20,CEAP,2000,0.12131959686678631,0.027557735664907098,4
single_6,ceap_20,CEAP,10,1.0,0.0,4
single_6,ceap_20,CEAP,507,0.23905341047793627,0.09097995286816883,4
single_6,ceap_20,CEAP,1005,0.17913451552804974,0.07080815290172086,4
single_6,ceap_20,CEAP,1502,0.16081261831439203,0.050865103855486656,4
single_6,ceap_20,CEAP,2000,0.11009727863387929,0.06766582794677944,4
single_7,ceap_20,CEAP,10,0.9491549880310362,0.0508771381744601,4
single_7,ceap_20,CEAP,507,0.2135290171662789,0.07578273183497682,4
single_7,ceap_20,CEAP,1005,0.18936949549413426,0.08327303756059426,4
single_7,ceap_20,CEAP,1502,0.17585600803746082,0.06242162242804416,4
single_7,ceap_20,CEAP,2000,0.13577150678323519,0.061862874543810106,4
single_8,ceap_20,CEAP,10,1.0,0.0,4
single_8,ceap_20,CEAP,507,0.08895964498430514,0.010470810939257374,4
single_8,ceap_20,CEAP,1005,0.06886019710613078,0.006725512594237765,4
single_8,ceap_20,CEAP,1502,0.06377968403916903,0.007318577932849925,4
single_8,ceap_20,CEAP,2000,0.05888194763530074,0.009242919372005578,4
single_9,ceap_20,CEAP,10,1.0,0.0,4
single_9,ceap_20,CEAP,507,0.1605690847746315,0.014384123813104954,4
single_9,ceap_20,CEAP,1005,0.15103610967821074,0.012479267731752059,4
single_9,ceap_20,CEAP,1502,0.11675712725351282,0.014799299285147281,4
single_9,ceap_20,CEAP,2000,0.10963448992600519,0.016333583891336618,4
single_10,ceap_20,CEAP,10,1.0,0.0,3
single_10,ceap_20,CEAP,507,0.023627400398254395,0.0026196795707417223,3
single_10,ceap_20,CEAP,1005,0.0099564790725708,0.004789736453161021,3
single_10,ceap_20,CEAP,1502,0.011999249458312988,0.0007569575885566231,3
single_10,ceap_20,CEAP,2000,0.00552437702814738,0.007041066562230649,3
single_11,ceap_20,CEAP,10,1.0,0.0,4
single_11,ceap_20,CEAP,507,0.22358609257886808,0.10740962466532522,4
single_11,ceap_20,CEAP,1005,0.17692933219174545,0.10820091190912796,4
single_11,ceap_20,CEAP,1502,0.17246093576153118,0.08160790915160146,4
single_11,ceap_20,CEAP,2000,0.13165225063761074,0.05931684723207474,4
single_12,ceap_20,CEAP,10,1.0,0.0,4
single_12,ceap_20,CEAP,507,0.2811991211457744,0.023048095593151068,4
single_12,ceap_20,CEAP,1005,0.23948607996102478,0.023941269416069562,4
single_12,ceap_20,CEAP,1502,0.23153252192477272,0.02715200010481351,4
single_12,ceap_20,CEAP,2000,0.2301035683231575,0.029337519456343494,4
single_13,ceap_20,CEAP,10,1.0,0.0,4
single_13,ceap_20,CEAP,507,0.26636961959302424,0.030995271622012113,4
single_13,ceap_20,CEAP,1005,0.21379385590553285,0.03992278264787371,4
single_13,ceap_20,CEAP,1502,0.1869061503559351,0.05868594549453474,4
single_13,ceap_20,CEAP,2000,0.1620277177542448,0.04352085919704548,4
single_14,ceap_20,CEAP,10,1.0,0.0,4
single_14,ceap_20,CEAP,507,0.19871621011371976,0.03985432663741609,4
single_14,ceap_20,CEAP,1005,0.15863604866340014,0.022875077318474456,4
single_14,ceap_20,CEAP,1502,0.13475351434844218,0.03156647560201881,4
single_14,ceap_20,CEAP,2000,0.10997695694271092,0.02127947765981212,4
plural_0,eap-ig_20,EAP-IG,10,1.0,0.0,4
plural_0,eap-ig_20,EAP-IG,507,0.28848331055071735,0.03990883200631681,4
plural_0,eap-ig_20,EAP-IG,1005,0.2957002521785242,0.03380702438774536,4
plural_0,eap-ig_20,EAP-IG,1502,0.23055930656846613,0.04523262322032685,4
plural_0,eap-ig_20,EAP-IG,2000,0.20285053404314177,0.026922970682403586,4
plural_1,eap-ig_20,EAP-IG,10,1.0,0.0,4
plural_1,eap-ig_20,EAP-IG,507,0.563074474682842,0.2338518876966202,4
plural_1,eap-ig_20,EAP-IG,1005,0.44068504684597776,0.3244895123785316,4
plural_1,eap-ig_20,EAP-IG,1502,0.4141770623388606,0.2840031618935568,4
plural_1,eap-ig_20,EAP-IG,2000,0.40268955898037484,0.2815818917084895,4
plural_2,eap-ig_20,EAP-IG,10,1.0147530727238128,0.036017801849223534,4
plural_2,eap-ig_20,EAP-IG,507,0.08407648515311025,0.0412380065212822,4
