graph_id,abs_q,u,ubar,u_prime,ubar_prime,mu,r
58,0.055008068680763245,0.03617095947265625,0.0635111927986145,0.001989694622920979,0.0034936280554633825,1701.495770216564,0.6544825397208327
59,0.10805241391062737,0.1538330316543579,0.1858428716659546,0.016622030409443322,0.020080770891589328,1907.2997575578693,0.6356693008097012
60,0.1572244130074978,0.11321985721588135,0.11321985721588135,0.017800925591559658,0.017800925591559658,1636.8823213525363,0.6791364411059714
61,0.16075854748487473,0.02784585952758789,0.036224424839019775,0.004476459931122889,0.005823385920595836,2150.6846778526588,0.591536575809587
62,0.009240145795047283,0.35940682888031006,0.35940682888031006,0.0033209714985896754,0.0033209714985896754,2755.9614728319884,0.5124877739667351
63,0.03320636972784996,0.2402646541595459,0.2402646541595459,0.007978316938555885,0.007978316938555885,2998.4801811842417,0.45675781237869545
64,0.06822505034506321,0.3296475410461426,0.3296475410461426,0.022490220083999368,0.022490220083999368,2232.799942083509,0.5805987373968085
65,0.1190473921597004,0.30657410621643066,0.345694899559021,0.036496847848757064,0.04115407627541101,2293.906799297149,0.584011785873299
66,0.3056834042072296,0.046342670917510986,0.046342670917510986,0.014166185406120135,0.014166185406120135,1423.178628005304,0.7018244155828687
67,0.23067154735326767,0.08207124471664429,0.08207124471664429,0.01893150101199703,0.01893150101199703,1965.9229942092632,0.6291739020033101
68,0.06986486166715622,0.09939682483673096,0.15086960792541504,0.006944345417372766,0.010540484287487217,2629.3404674826375,0.5255635390642616
69,0.3988902419805527,0.08403807878494263,0.08403807878494263,0.033521969582106514,0.033521969582106514,1494.977626533972,0.7091198170684575
70,0.08081033453345299,0.28647470474243164,0.28647470474243164,0.023150116725608072,0.023150116725608072,1616.0227044525182,0.6733463213032843
71,0.26480111479759216,0.1562424898147583,0.1826390027999878,0.04137318548169944,0.048363011546957324,1656.1441881847518,0.6741318866143451
72,0.07831526920199394,0.1043393611907959,0.21238219738006592,0.00817136516002126,0.016632768961530875,1694.0931814958446,0.6512080276580863
73,0.05572054535150528,0.16296744346618652,0.18913817405700684,0.009080634824476519,0.010538882205244349,2488.086742294683,0.5455101849566403
74,0.04897875338792801,0.24079984426498413,0.24079984426498413,0.011794076188106128,0.011794076188106128,2529.448790955806,0.5335312666187951
75,0.24674085527658463,0.10429906845092773,0.11240136623382568,0.025734841354132953,0.02773400923879077,1707.0963368851117,0.6666292039343585
76,0.0017242804169654846,0.3430328369140625,0.5728014707565308,0.0005914848030670328,0.0009876703588345137,2973.9553664703726,0.5033078138947381
77,0.4579964131116867,0.04639136791229248,0.04639136791229248,0.021247080103174554,0.021247080103174554,1756.9545443843456,0.6653955199685386
78,0.0002180039882659912,65.14695739746094,65.14695739746094,0.014202296536041104,0.014202296536041104,3071.38286535441,0.44832727482759105
79,0.4628334939479828,0.1422104835510254,0.1422104835510254,0.06581977497795322,0.06581977497795322,1341.2080321298733,0.7514399258432672
80,0.30684328079223633,0.1414170265197754,0.1414170265197754,0.04339286437721057,0.04339286437721057,1646.4734190071244,0.6886354906771898
81,0.15989284962415695,0.3054083585739136,0.3054083585739136,0.04883261275141937,0.04883261275141937,2001.252215383471,0.6208390515658347
82,0.19414512813091278,0.2889268398284912,0.2889268398284912,0.05609373833896214,0.05609373833896214,1646.5474551895657,0.6564275308213531
83,0.1573624238371849,0.1051868200302124,0.1051868200302124,0.016552452955679975,0.016552452955679975,1649.5878445408014,0.6696326436190977
84,0.302019327878952,0.19887679815292358,0.19887679815292358,0.06006463690886399,0.06006463690886399,1565.2483469655485,0.6929703623131669
85,0.062214531004428864,0.16439509391784668,0.16439509391784668,0.010227763667527867,0.010227763667527867,1941.5298581833251,0.5905334471742137
86,0.01950060948729515,0.9603303372859955,0.9603303372859955,0.018727026886216636,0.018727026886216636,3029.6076163571024,0.4561438294541967
87,0.1054367646574974,0.32784438133239746,0.32784438133239746,0.03456685087882683,0.03456685087882683,1870.4436991914613,0.6081085152559432
